ngram,counts,freq
a,37967,0.00697134463437459
aa,18,2.07304215975455e-05
aaa,11,1.33266995984221e-05
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,1.48074439982468e-06
aaaaaaaaaaaaaaaaaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiaaaaaaaaaaaaaaeee,1,1.48074439982468e-06
aaaaaahahahahahaaaaa,1,1.48074439982468e-06
aaaack,1,1.48074439982468e-06
aaaages,1,1.48074439982468e-06
aaaahhh,1,1.48074439982468e-06
aaaannnd,1,1.48074439982468e-06
aaaarghhhhh,1,1.48074439982468e-06
aaachoooo,1,1.48074439982468e-06
aaagh,1,1.48074439982468e-06
aaah,1,1.48074439982468e-06
aaahhh,1,1.48074439982468e-06
aaammmoooo,1,1.48074439982468e-06
aaaw,1,1.48074439982468e-06
aaawwww,1,1.48074439982468e-06
aacc,1,1.48074439982468e-06
aafaal,1,1.48074439982468e-06
aage,1,1.48074439982468e-06
aagh,1,1.48074439982468e-06
aahhhh,1,1.48074439982468e-06
aaiineogooglegroupscom,1,1.48074439982468e-06
aaim,1,1.48074439982468e-06
aaliyah,4,4.44223319947404e-06
aall,1,1.48074439982468e-06
aam,7,7.4037219991234e-06
aama,1,1.48074439982468e-06
aamghc,1,1.48074439982468e-06
aanr,5,5.92297759929872e-06
aanrcom,1,1.48074439982468e-06
aap,2,2.96148879964936e-06
aar,1,1.48074439982468e-06
aardman,2,2.96148879964936e-06
aaron,51,6.36720091924612e-05
aaronrodgers,1,1.48074439982468e-06
aarp,4,5.92297759929872e-06
aasen,1,1.48074439982468e-06
aasl,1,1.48074439982468e-06
aasrd,1,1.48074439982468e-06
aasssss,1,1.48074439982468e-06
aau,1,1.48074439982468e-06
aawww,1,1.48074439982468e-06
ab,16,2.22111659973702e-05
aba,4,5.92297759929872e-06
abaaabab,1,1.48074439982468e-06
aback,1,1.48074439982468e-06
abandon,8,1.03652107987728e-05
abandoned,24,2.96148879964936e-05
abandonedeverything,1,1.48074439982468e-06
abandoning,2,2.96148879964936e-06
abandonment,4,4.44223319947404e-06
abandonsi,1,1.48074439982468e-06
abastos,1,1.48074439982468e-06
abbasiheberttakeishi,1,1.48074439982468e-06
abbey,6,8.88446639894808e-06
abbie,1,1.48074439982468e-06
abbot,2,2.96148879964936e-06
abbotsford,1,1.48074439982468e-06
abbott,6,8.88446639894808e-06
abbreviated,2,2.96148879964936e-06
abbreviation,3,4.44223319947404e-06
abbreviations,2,2.96148879964936e-06
abby,12,1.62881883980715e-05
abc,35,3.84993543954417e-05
abcaudited,1,1.48074439982468e-06
abcess,1,1.48074439982468e-06
abcmember,1,1.48074439982468e-06
abctv,1,1.48074439982468e-06
abd,3,4.44223319947404e-06
abdc,4,5.92297759929872e-06
abdelaziz,1,1.48074439982468e-06
abdelkader,1,1.48074439982468e-06
abdication,1,1.48074439982468e-06
abdirahman,1,1.48074439982468e-06
abdomen,2,2.96148879964936e-06
abdominal,2,2.96148879964936e-06
abdu,3,4.44223319947404e-06
abduct,1,1.48074439982468e-06
abducted,6,8.88446639894808e-06
abducting,1,1.48074439982468e-06
